run,NrBeeSurvivors,FighterCollectorRatio,NrMurderContracts,BeeCap100Ratio,BeePerformance,flower_count,bee_count,bee_sight,buzzer_count,max_capacity,hive_count,comm_radius,RatioBeeBuzzer
1,3,1,0,0.779220779,58.44155844,10,4,4,2,30,1,1,2
3,2,1,0,0.779220779,38.96103896,10,4,4,2,30,1,7,2
5,1,1,1,0.779220779,19.48051948,10,4,4,2,30,1,13,2
7,3,1,0,0.779220779,58.44155844,10,4,4,2,30,1,19,2
9,1,1,0,0.779220779,19.48051948,10,4,4,4,30,1,4,1
11,0,1,2,0.779220779,0,10,4,4,4,30,1,10,1
13,1,1,0,0.779220779,19.48051948,10,4,4,4,30,1,16,1
15,1,1,0,0.779220779,19.48051948,10,4,4,6,30,1,1,0.666666667
17,1,1,1,0.779220779,19.48051948,10,4,4,6,30,1,7,0.666666667
19,1,1,0,0.779220779,19.48051948,10,4,4,6,30,1,13,0.666666667
21,1,1,2,0.779220779,19.48051948,10,4,4,6,30,1,19,0.666666667
23,1,1,0,0.779220779,19.48051948,10,4,4,8,30,1,4,0.5
25,0,1,1,0.779220779,0,10,4,4,8,30,1,10,0.5
27,0,1,0,0.779220779,0,10,4,4,8,30,1,16,0.5
29,0,1,0,0.779220779,0,10,4,4,10,30,1,1,0.4
31,0,1,1,0.779220779,0,10,4,4,10,30,1,7,0.4
33,0,1,1,0.779220779,0,10,4,4,10,30,1,13,0.4
35,0,1,1,0.779220779,0,10,4,4,10,30,1,19,0.4
37,0,1,0,0.779220779,0,10,4,4,12,30,1,4,0.333333333
39,0,1,0,0.779220779,0,10,4,4,12,30,1,10,0.333333333
41,0,1,0,0.779220779,0,10,4,4,12,30,1,16,0.333333333
43,0,1,0,0.779220779,0,10,4,4,14,30,1,1,0.285714286
45,0,1,1,0.779220779,0,10,4,4,14,30,1,7,0.285714286
47,0,1,1,0.779220779,0,10,4,4,14,30,1,13,0.285714286
49,0,1,1,0.779220779,0,10,4,4,14,30,1,19,0.285714286
51,0,1,0,0.779220779,0,10,4,4,16,30,1,4,0.25
53,0,1,0,0.779220779,0,10,4,4,16,30,1,10,0.25
55,0,1,1,0.779220779,0,10,4,4,16,30,1,16,0.25
57,0,1,0,0.779220779,0,10,4,4,18,30,1,1,0.222222222
59,0,1,0,0.779220779,0,10,4,4,18,30,1,7,0.222222222
61,0,1,0,0.779220779,0,10,4,4,18,30,1,13,0.222222222
63,0,1,0,0.779220779,0,10,4,4,18,30,1,19,0.222222222
65,0,1,0,0.779220779,0,10,4,4,20,30,1,4,0.2
67,0,1,0,0.779220779,0,10,4,4,20,30,1,10,0.2
69,0,1,1,0.779220779,0,10,4,4,20,30,1,16,0.2
71,2,1,0,0.779220779,38.96103896,10,4,6,2,30,1,1,2
73,4,1,0,0.779220779,77.92207792,10,4,6,2,30,1,7,2
75,1,1,1,0.779220779,19.48051948,10,4,6,2,30,1,13,2
77,0,1,1,0.779220779,0,10,4,6,2,30,1,19,2
79,0,1,0,0.779220779,0,10,4,6,4,30,1,4,1
81,2,1,0,0.779220779,38.96103896,10,4,6,4,30,1,10,1
83,2,1,2,0.779220779,38.96103896,10,4,6,4,30,1,16,1
85,0,1,0,0.779220779,0,10,4,6,6,30,1,1,0.666666667
87,1,1,1,0.779220779,19.48051948,10,4,6,6,30,1,7,0.666666667
89,2,1,2,0.779220779,38.96103896,10,4,6,6,30,1,13,0.666666667
91,0,1,2,0.779220779,0,10,4,6,6,30,1,19,0.666666667
93,0,1,0,0.779220779,0,10,4,6,8,30,1,4,0.5
95,0,1,1,0.779220779,0,10,4,6,8,30,1,10,0.5
97,0,1,1,0.779220779,0,10,4,6,8,30,1,16,0.5
99,0,1,0,0.779220779,0,10,4,6,10,30,1,1,0.4
101,0,1,1,0.779220779,0,10,4,6,10,30,1,7,0.4
103,0,1,1,0.779220779,0,10,4,6,10,30,1,13,0.4
105,0,1,3,0.779220779,0,10,4,6,10,30,1,19,0.4
107,0,1,0,0.779220779,0,10,4,6,12,30,1,4,0.333333333
109,0,1,1,0.779220779,0,10,4,6,12,30,1,10,0.333333333
111,0,1,0,0.779220779,0,10,4,6,12,30,1,16,0.333333333
113,0,1,0,0.779220779,0,10,4,6,14,30,1,1,0.285714286
115,0,1,1,0.779220779,0,10,4,6,14,30,1,7,0.285714286
117,0,1,0,0.779220779,0,10,4,6,14,30,1,13,0.285714286
119,0,1,0,0.779220779,0,10,4,6,14,30,1,19,0.285714286
121,0,1,0,0.779220779,0,10,4,6,16,30,1,4,0.25
123,0,1,1,0.779220779,0,10,4,6,16,30,1,10,0.25
125,0,1,0,0.779220779,0,10,4,6,16,30,1,16,0.25
127,0,1,0,0.779220779,0,10,4,6,18,30,1,1,0.222222222
129,0,1,0,0.779220779,0,10,4,6,18,30,1,7,0.222222222
